Sexo;Grupos de edad;Hábitat de procedencia;Valor absoluto y porcentaje;periodo;Total
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2020;365,8
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2019;439,1
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2018;486,7
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2017;413,1
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2016;458,9
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2015;432,5
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2014;405,1
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2013;357,9
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2012;452,2
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2011;469,5
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2010;473,2
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2009;536,8
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2008;605,8
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2007;778,7
Ambos sexos;Total (edad);Total (procedencia);Valor absoluto;2006;803,4
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2020;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2019;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2018;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2017;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2016;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2015;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2014;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2013;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2012;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2011;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2010;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2009;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2008;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2007;100,0
Ambos sexos;Total (edad);Total (procedencia);Porcentaje;2006;100,0
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2020;42,5
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2019;53,1
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2018;78,2
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2017;44,1
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2016;63,9
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2015;84,6
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2014;59,6
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2013;56,0
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2012;65,2
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2011;87,4
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2010;84,7
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2009;71,5
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2008;82,7
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2007;140,2
Ambos sexos;Total (edad);Rural (procedencia);Valor absoluto;2006;118,1
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2020;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2019;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2018;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2017;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2016;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2015;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2014;100,0
Ambos sexos;Total (edad);Rural (procedencia);Porcentaje;2013;100,0
